iter	Logloss
0	0.5891980794
1	0.5047244331
2	0.4422333306
3	0.3905176731
4	0.3543873969
5	0.3272815823
6	0.3065126885
7	0.2891981812
8	0.2759164768
9	0.265881056
10	0.256990153
11	0.2495317112
12	0.243866428
13	0.239290507
14	0.2344973891
15	0.2307894423
16	0.2277381524
17	0.2243819139
18	0.2216002231
19	0.2194240146
20	0.2175029093
21	0.2157301737
22	0.213910241
23	0.2118533427
24	0.2102717387
25	0.2079717645
26	0.206775923
27	0.204803833
28	0.203682824
29	0.2026973063
30	0.2015605435
31	0.2006157498
32	0.1994251607
33	0.1982589417
34	0.1974404602
35	0.1966622721
36	0.1959304097
37	0.1943554789
38	0.1936264784
39	0.1930521986
40	0.1924100613
41	0.1916844381
42	0.1910173238
43	0.1904761183
44	0.1898540988
45	0.1894565803
46	0.1888144599
47	0.1884710931
48	0.1879752367
49	0.1873052572
50	0.1867844713
51	0.1862586433
52	0.1858797607
53	0.1855120205
54	0.1852424927
55	0.1848576423
56	0.1845194702
57	0.184191196
58	0.1838937141
59	0.1828917508
60	0.1826098735
61	0.1819163445
62	0.1816566739
63	0.1814282532
64	0.1810841912
65	0.1804818454
66	0.1803015984
67	0.1801222975
68	0.1799542711
69	0.1795590447
70	0.1794494493
71	0.1792752177
72	0.1790958286
73	0.1787757467
74	0.1780089925
75	0.1777890082
76	0.1775914205
77	0.1771561991
78	0.1767319166
79	0.176543023
80	0.1762828539
81	0.1761674906
82	0.1759896884
83	0.1758089973
84	0.1756801215
85	0.1755500183
86	0.1753676385
87	0.1752660048
88	0.1750382521
89	0.1749459093
90	0.1748235948
91	0.1746308628
92	0.1743541022
93	0.1741488105
94	0.1740227424
95	0.1737228427
96	0.1736207106
97	0.1734981995
98	0.1730009664
99	0.1728717414
100	0.1727425944
101	0.1725181173
102	0.1723617384
103	0.1721871168
104	0.1720615302
105	0.171943807
106	0.1718727044
107	0.1714392836
108	0.1713785536
109	0.1712954678
110	0.1711018575
111	0.1709663255
112	0.1708059421
113	0.1706999783
114	0.1706239556
115	0.1705094096
116	0.1702295024
117	0.1701522793
118	0.1699288432
119	0.1698563809
120	0.1697003716
121	0.169631741
122	0.1694398634
123	0.1691964654
124	0.169102851
125	0.1690283067
126	0.1689516059
127	0.1688776042
128	0.1687437541
129	0.1685809903
130	0.1684215325
131	0.1682645162
132	0.1682070753
133	0.1681413676
134	0.1680502014
135	0.16796757
136	0.1678268534
137	0.1677256368
138	0.1676361457
139	0.1675768806
140	0.1673137105
141	0.1669672207
142	0.1668644274
143	0.166792494
144	0.1666935967
145	0.1665470005
146	0.166404263
147	0.1663074273
148	0.1662609728
149	0.1661767714
150	0.1660853475
151	0.1659701606
152	0.1658630914
153	0.1657417094
154	0.1656330634
155	0.1655594245
156	0.1655101454
157	0.1654584791
158	0.1653247308
159	0.1652587721
160	0.1651886529
161	0.1650683187
162	0.1649960259
163	0.1648847928
164	0.1647675917
165	0.1647083876
166	0.1644397142
167	0.1643220588
168	0.1642755636
169	0.1642190247
170	0.1641424289
171	0.1639851481
172	0.1638394741
173	0.1637805617
174	0.1637068719
175	0.1635930956
176	0.1635310838
177	0.1634902751
178	0.1634395311
179	0.1633286777
180	0.163200097
181	0.1631190728
182	0.1630702752
183	0.1630010444
184	0.1628821377
185	0.1627915582
186	0.1626697693
187	0.1625593431
188	0.1624891052
189	0.1624558105
190	0.1623838264
191	0.162325887
192	0.1622746548
193	0.1621904806
194	0.1620641547
195	0.1619678006
196	0.1617252808
197	0.1616308797
198	0.1615135295
199	0.1614373372
200	0.1613710904
201	0.1612319065
202	0.161131585
203	0.161069397
204	0.1610282016
205	0.1609470317
206	0.1608884074
207	0.1607488403
208	0.1606945631
209	0.1606187439
210	0.1605616014
211	0.1604453837
212	0.1603829956
213	0.1602254266
214	0.1601883375
215	0.1601460673
216	0.1599988708
217	0.1598983053
218	0.1598295356
219	0.1597604268
220	0.1596886054
221	0.1595452983
222	0.1594759013
223	0.1594185621
224	0.1592972955
225	0.1592303162
226	0.1590754395
227	0.1589712219
228	0.1588653293
229	0.1587556322
230	0.1587013211
231	0.158572564
232	0.1584581299
233	0.1584002482
234	0.1583422241
235	0.1582360433
236	0.1581411777
237	0.1580324571
238	0.15795224
239	0.157896481
240	0.157829088
241	0.1576911316
242	0.1576235182
243	0.1575509406
244	0.1574877455
245	0.1574313083
246	0.1573515828
247	0.1572502882
248	0.1571929457
249	0.1570701735
250	0.1570287374
251	0.1568164673
252	0.1567389187
253	0.1566661546
254	0.1566040921
255	0.1565345086
256	0.1564419759
257	0.1563875122
258	0.1562983331
259	0.1561907552
260	0.1561029697
261	0.1560287408
262	0.1558494737
263	0.155796424
264	0.15571934
265	0.1556241862
266	0.1555211962
267	0.1554419793
268	0.1553595547
269	0.1552444729
270	0.1550839403
271	0.1550282694
272	0.1549640639
273	0.1549165853
274	0.1547093777
275	0.1545640496
276	0.1544716695
277	0.1544082269
278	0.1543201667
279	0.1542849223
280	0.1542087436
281	0.1540859273
282	0.1539747755
283	0.1539012519
284	0.1538545159
285	0.1536848619
286	0.1536270209
287	0.1535398322
288	0.1534642639
289	0.1533323602
290	0.1532597453
291	0.1532019382
292	0.1531536221
293	0.1530869039
294	0.1529674038
295	0.1529155986
296	0.1528436042
297	0.1528014425
298	0.1527507968
299	0.1526701084
300	0.1526126336
301	0.1525143297
302	0.1523976915
303	0.1523314616
304	0.1522230021
305	0.1521602715
306	0.1520902303
307	0.1519921265
308	0.1519478556
309	0.1518899333
310	0.1518182678
311	0.1517448086
312	0.1516849196
313	0.1516491699
314	0.1515813734
315	0.1514962396
316	0.1514327359
317	0.15126238
318	0.1512121379
319	0.1511164042
320	0.1510686849
321	0.150994812
322	0.1509151544
323	0.1508427192
324	0.1507655165
325	0.1507209269
326	0.1506569214
327	0.1506006198
328	0.1504744093
329	0.1504392971
330	0.1503764174
331	0.1503343879
332	0.1502705315
333	0.1501761373
334	0.1501423035
335	0.1500433214
336	0.149946089
337	0.1498591376
338	0.1497921109
339	0.1497128771
340	0.1496091885
341	0.1495251194
342	0.1494584656
343	0.149387502
344	0.1493224114
345	0.1492893202
346	0.1492525262
347	0.1491812202
348	0.1491210429
349	0.1490470818
350	0.1489433221
351	0.1488726603
352	0.1488314446
353	0.1487975193
354	0.1487242364
355	0.1486551649
356	0.1485969713
357	0.148550571
358	0.148475864
359	0.1484066196
360	0.1483274333
361	0.1482675476
362	0.1482049696
363	0.1481643473
364	0.148110616
365	0.1480511678
366	0.1479728902
367	0.1479263814
368	0.1478346015
369	0.1477733968
370	0.1476984287
371	0.1476463454
372	0.1475802036
373	0.1474875793
374	0.1474144762
375	0.1473526171
376	0.147306644
377	0.1472642822
378	0.1472284885
379	0.1471478136
380	0.1470932719
381	0.1470479635
382	0.1469899801
383	0.1469490594
384	0.1468641425
385	0.1468095466
386	0.1467507867
387	0.1467151489
388	0.1466828715
389	0.1466422085
390	0.1465823534
391	0.1465263909
392	0.1464643894
393	0.1464006076
394	0.1463128594
395	0.1462638414
396	0.146179952
397	0.1461047533
